id,d1,startaca,aca,endaca,m4all,endm4all,startq1,q1a,q1b,q1c,q1d,q1e,q1f,q2a,q2b,q2c,q2d,q2e,q11,endq2,startq3,q3a,q3b,q4,q5,q6,q7,endq7,startq8,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,endq8,partystart,party,partylean,party3,party5,q9,q10,endq11,startq12,q12a,q12b,q12c,q13,endq13,startq14,q14,q15,q16,q17,q18,q23,endq18,startdemos,rsex,gendervar,age,age2,recage,recage2,recage3,coverage,agecov,covtype,covtypeot,agecovtype,covself,covselfot,covmkt,q19,q20,starthealth,health,rechealth,rechealth2,prexa,endprx,startmarital,marital,employ,recemploy,employend,rvotestart,ideology,rvote,trumpapprove,trumpapprove2,trumpend,religstart,educ,receduc,receduc2,receduc3,hispanic,race,raceot,racethn,nativity,racethn2,income,recincome,endincome,startcell,cell,hhcell,landline,hhadults,moneystart,int,endint,timeend,cstate,cregion,density,intvwdate,inteview_length,sample07,sample10,sstate,sregion,sdivision,stz,sample17,sample19,sample240,sample,exchangstat,stateexpmedi,gvnrexpmedi,waiver,wt1,weight,standwt,weight_ssrs,lang,Division,changesex,iphoneuse,hphoneuse,state1,halfsamp,halfsamp2,state,sample239,sample241,USR
10000004,Male,38,Don't Know,77,Strongly favor,106,106,Not too important,Top priority,Top priority,Top priority,Top priority,Top priority,Somewhat positive,Very positive,Somewhat positive, ,Very positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,323,323,Very important, ,Somewhat worried,Very worried,"Yes, overturn", ,426,426,Increase spending,Increase spending,Keep it about the same, ,Decrease spending, ,Keep it about the same, ,486,486,Independent,Independent/don't lean to either party (VOL.),Pure Independents,INDEPENDENT/DON'T LEAN, , ,506,506,"Yes, should take action","Yes, should take action","Yes, should take action",Both,624,624,Too much,"Major role, but not leading", ,Lower priority, ,"The U.S. should operate on its own, so the U.S. has more control over how the money is spent and gets more credit and in",723,723,Male,MALE,55, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer, ,Spouse's employer, , , ,No, ,811,Excellent,EXCELLENT/VERY GOOD,E/VG/G,"No, no one in household has pre-existing condition",838,838,Married,Employed full-time,EMPLOYED,865,865,Conservative,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,895,895,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC","$100,000 or more",$90K+,943,943,"Yes, have cell phone", , ,2,977,Yes,1018,1018,Georgia,South,3,190411,16.9,RDD,19000731,Georgia,South,South Atlantic,E, ,Suburban (Metro), ,landline,Federal,No/Maybe,No/Maybe,No,.7886,1.7786,.4538,.546,English,South Atlantic,sex = rsex,Dual,Dual HH,GEORGIA,A,C,1,1,1,Suburban
10000005,Female,37,Very unfavorable,64,Strongly oppose,81,81,Top priority,Top priority,Important but not a top priority,Important but not a top priority,Should not be done,Top priority, ,Very negative,Very negative,Very negative, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,345,345, ,Very important,Not at all worried,Not at all worried, ,"No, do not want to see it overturned",450,450,Keep it about the same,Keep it about the same, ,Increase spending, ,Increase spending, ,Decrease spending,506,506,Independent,Republican,Republican/Independent lean Republican,INDEPENDENT LEAN REP,Support, ,561,561,"Yes, should take action","Yes, should take action","Yes, should take action",Both,697,697,Too much, ,No role at all, ,Lower priority,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",794,794,Female,FEMALE,64, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,Plan you purchased yourself, ,Self-purchased plan,Directly from an insurance company, ,Non-marketplace plan,No, ,908,Very good,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",937,937,Married,Retired,RETIRED,951,951,Moderate,Yes,Strongly approve,STRONGLY APPROVE/SOMEWHAT APPROVE,976,976,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",Refused,DK/RF,1012,1012,"Yes, have cell phone", , ,2,1078,Yes,1090,1090,Ohio,North Central,4,190411,18.1,RDD,19003590,Ohio,North Central,East North Central,E, ,Urban- Center City (Metro), ,landline,Federal,Yes,Yes - Republican Governor,Yes,.7886,3.9425,1.006,1.2102,English,East North Central,sex = rsex,Dual,Dual HH,OHIO,B,D,1,1,1,Urban
10000006,Female,69,Somewhat favorable,112,Somewhat favor,143,143,Not too important,Top priority,Important but not a top priority,Important but not a top priority,Important but not a top priority,Top priority,Somewhat positive,Somewhat positive,Somewhat positive, ,Somewhat positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,388,388,Somewhat important, ,Somewhat worried,Somewhat worried,"Yes, overturn", ,503,503,Increase spending,Increase spending,Keep it about the same, ,Keep it about the same, ,Keep it about the same, ,566,566,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Passing a national Medicare-for-all plan,599,599,"Yes, should take action","Yes, should take action","Yes, should take action",Both,697,697,Too much,Don't Know, ,About the same, ,"The U.S. should operate on its own, so the U.S. has more control over how the money is spent and gets more credit and in",794,794,Female,FEMALE,50, ,18-64,50-64,45-54,Covered by health insurance,INSURED LESS THAN 65,MEDICAID, ,Medicaid/State-specific Medicaid name, , , ,No, ,883,Good,GOOD,E/VG/G,"No, no one in household has pre-existing condition",913,913,Never been married,On disability and can't work,ON DISABILITY AND CAN'T WORK,934,934,Conservative,No,Somewhat disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,970,970,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Less than $20,000",LESS THAN $40K,1020,1020,"Yes, have cell phone", , ,3,1076,Yes,1124,1124,West Virginia,South,2,190411,18.7,RDD,19000789,West Virginia,South,South Atlantic,E, ,Rural- Non-Metro, ,landline,Partnership,Yes,Yes - Republican Governor,No,.8676,7.434,1.8969,2.282,English,South Atlantic,sex = rsex,Dual,Dual HH,WEST VIRGINIA,A,C,1,1,1,Suburban
10000007,Male,54,Very favorable,80,Strongly favor,109,109,Not too important,Top priority,Important but not a top priority,Top priority,Top priority,Top priority,Somewhat positive,Very positive,Very positive, ,Very positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,400,400,Very important, ,Not too worried,Somewhat worried,"No, do not want to see it overturned", ,518,518,Increase spending,Don't Know,Keep it about the same, ,Keep it about the same, ,Increase spending, ,630,630,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Improving and protecting the 2010 Affordable Care Act,673,673,"Yes, should take action","Yes, should take action","No, should not take action",Both,794,794,About the right amount,Minor role, ,Lower priority, ,Both/Neither (Vol.),908,908,Male,MALE,71, ,65+,65+,65+,Covered by health insurance, ,Somewhere else,UNITED HEALTH CARE, , , , , , ,991,Very good,EXCELLENT/VERY GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",1026,1026,Married,Employed part-time,EMPLOYED,1059,1059,Moderate,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,1088,1088,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$50,000 to less than $75,000",$40K-$89K,1146,1146,"Yes, have cell phone", , ,2,1199,Yes,1242,1242,New York,Northeast,4,190411,20.7,RDD,19003119,New York,Northeast,Mid Atlantic,E, ,Urban- Center City (Metro), ,landline,State,Yes,Yes - Democratic/Independent,No,.7886,2.0911,.5336,.6419,English,Mid Atlantic,sex = rsex,Dual,Dual HH,NEW YORK,A,C,1,1,1,Suburban
10000008,Female,30,Very unfavorable,59,Somewhat favor,83,83,Not too important,Top priority,Top priority,Top priority,Important but not a top priority,Top priority,Somewhat positive,Somewhat positive,Somewhat positive, ,Somewhat positive,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,325,325,Very important, ,Very worried,Very worried, ,"No, do not want to see it overturned",436,436,Increase spending,Keep it about the same,Keep it about the same, ,Decrease spending, ,Decrease spending, ,502,502,Republican, ,Republican/Independent lean Republican,REPUBLICAN,Oppose, ,542,542,"Yes, should take action","Yes, should take action","Yes, should take action",Insurance company,644,644,Too much,"Major role, but not leading", ,About the same, ,"The U.S. should operate on its own, so the U.S. has more control over how the money is spent and gets more credit and in",735,735,Female,FEMALE,68, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,781,Only fair,ONLY FAIR/POOR,OF/P,"Yes, someone in household has pre-existing condition",814,814,Married,Retired,RETIRED,837,837,Moderate,No,Strongly approve,STRONGLY APPROVE/SOMEWHAT APPROVE,868,868,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$20,000 to less than $30,000",LESS THAN $40K,933,933,"No, do not",No, ,2,989,Yes,1016,1016,Pennsylvania,Northeast,Lowest,190411,16.9,RDD,19002418,Pennsylvania,Northeast,Mid Atlantic,E, ,Rural- Non-Metro, ,landline,Federal,Yes,Yes - Democratic/Independent,No,2.8798,3.9436,1.0063,1.2106,English,Mid Atlantic,sex = rsex,LLO,LLO HH,PENNSYLVANIA,A,D,1,1,1,Rural
10000009,Female,49,Don't Know,107,Somewhat oppose,153,153,Top priority,Top priority,Don't Know,Top priority,Important but not a top priority,Top priority, ,Somewhat positive,Somewhat negative,Somewhat positive, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,450,450, ,Somewhat important,Somewhat worried,Somewhat worried, ,"No, do not want to see it overturned",605,605,Keep it about the same,Keep it about the same, ,Increase spending, ,Keep it about the same, ,Keep it about the same,694,694,Republican, ,Republican/Independent lean Republican,REPUBLICAN,Don't Know, ,755,755,"No, should not take action","No, should not take action","No, should not take action",Both,936,936,Don't Know, ,Minor role, ,About right,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",1073,1073,Female,FEMALE,94, ,65+,65+,65+,Covered by health insurance, ,Plan through your spouse's employer, , , , , , , ,1135,Excellent,EXCELLENT/VERY GOOD,E/VG/G,"No, no one in household has pre-existing condition",1173,1173,Widowed,Retired,RETIRED,1201,1201,Conservative,Yes,Strongly approve,STRONGLY APPROVE/SOMEWHAT APPROVE,1241,1241,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",Don't Know,DK/RF,1321,1321,"No, do not",No, ,1,1468,Yes,1524,1524,Michigan,North Central,2,190411,25.4,RDD,19000095,Michigan,North Central,East North Central,E, ,Urban- Center City (Metro), ,landline,Partnership,Yes,Yes - Democratic/Independent,Yes,1.4422,1.7491,.4463,.5369,English,East North Central,sex = rsex,LLO,LLO HH,MICHIGAN,B,D,MICHIGAN,1,1,Suburban
10000010,Male,71,Don't Know,102,Strongly favor,126,126,Important but not a top priority,Top priority,Important but not a top priority,Important but not a top priority,Top priority,Top priority, ,Very positive,Very positive,Very positive, ,The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,369,369, ,Somewhat important,Not at all worried,Not at all worried,"No, do not want to see it overturned", ,481,481,Keep it about the same,Decrease spending, ,Increase spending, ,Keep it about the same, ,Decrease spending,549,549,Refused,Refused,Undesignated,UNDESIGNATED, , ,573,573,"Yes, should take action","Yes, should take action","Yes, should take action",Insurance company,682,682,About the right amount, ,Leading role, ,About right,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",786,786,Male,MALE,60, ,18-64,50-64,55-64,Covered by health insurance,INSURED LESS THAN 65,Medicare, ,Medicare, , , ,No, ,862,Good,GOOD,E/VG/G,"No, no one in household has pre-existing condition",894,894,Married,Employed full-time,EMPLOYED,930,930,Refused,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,972,972,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,No,Asian, ,"OTHER, NON-HISPANIC", ,"OTHER, NON-HISPANIC","$100,000 or more",$90K+,1065,1065,"Yes, have cell phone", , ,3,1109,Yes,1153,1153,Ohio,North Central,Lowest,190411,19.2,RDD,18001961,Ohio,North Central,East North Central,E, ,Urban- Center City County (Metro), ,landline,Federal,Yes,Yes - Republican Governor,Yes,.8676,1.7253,.4402,.5296,English,East North Central,sex = rsex,Dual,Dual HH,OHIO,B,C,1,1,1,Rural
10000011,Female,35,Very unfavorable,57,Don't Know,77,77,Should not be done,Top priority,Don't Know,Top priority,Don't Know,Top priority,Neutral/Neither positive or negative (Vol.),Neutral/Neither positive or negative (Vol.),Somewhat positive, ,Neutral/Neither positive or negative (Vol.),The federal government should require health insurance plans to cover a certain set of benefits and cover pre-existing c,312,312,Very important, ,Not too worried,Don't Know, ,"No, do not want to see it overturned",485,485,Increase spending,Keep it about the same,Don't Know, ,Don't Know, ,Increase spending, ,628,628,Or what?,Independent/don't lean to either party (VOL.),Pure Independents,INDEPENDENT/DON'T LEAN, , ,721,721,"Yes, should take action","Yes, should take action",Don't Know,Someone else (vol),918,918,Don't Know,"Major role, but not leading", ,Don't Know, ,Both/Neither (Vol.),1017,1017,Female,FEMALE,99,30-49,18-64,30-49, ,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer, ,Employer, , , ,No, ,1097,Good,GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",1136,1136,Married,Employed part-time,EMPLOYED,1150,1150,Conservative,Yes,Somewhat disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,1193,1193,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,Refused,Refused, ,DK/RF, ,DK/RF,Refused,DK/RF,1239,1239,"Yes, have cell phone", , ,4 or more,1357,Yes,1387,1387,New York,Northeast,Highest,190411,23.1,RDD,18003965,New York,Northeast,Mid Atlantic,E, ,Urban- Center City County (Metro), ,landline,State,Yes,Yes - Democratic/Independent,No,.7886,4.9259,1.2569,1.5121,English,Mid Atlantic,sex = rsex,Dual,Dual HH,NEW YORK,A,D,1,1,1,Suburban
10000012,Female,27,Somewhat unfavorable,60,Strongly favor,76,76,Top priority,Top priority,Don't Know,Top priority,Top priority,Top priority, ,Very positive,Very positive,Very positive, ,The federal government should allow insurance companies to sell these types of plans,243,243, ,Very important,Not too worried,Very worried, ,"No, do not want to see it overturned",350,350,Increase spending,Increase spending, ,Increase spending, ,Increase spending, ,Increase spending,396,396,Democrat, ,Democrat/Independent lean Democrat,DEMOCRAT, ,Passing a national Medicare-for-all plan,429,429,"Yes, should take action","Yes, should take action","Yes, should take action",Doctor or provider,549,549,Too little, ,"Major role, but not leading", ,Higher priority,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",675,675,Female,FEMALE,71, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,717,Only fair,ONLY FAIR/POOR,OF/P,"Yes, someone in household has pre-existing condition",753,753,Married,Retired,RETIRED,768,768,Liberal,Yes,Strongly disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,806,806,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Less than $20,000",LESS THAN $40K,853,853,"Yes, have cell phone", , ,2,914,Yes,942,942,Pennsylvania,Northeast,3,190411,15.7,RDD,18004640,Pennsylvania,Northeast,Mid Atlantic,E, ,Urban- Center City (Metro), ,landline,Federal,Yes,Yes - Democratic/Independent,No,.7886,1.2437,.3173,.3818,English,Mid Atlantic,sex = rsex,Dual,Dual HH,PENNSYLVANIA,B,D,1,1,1,Urban
10000013,Female,29,Very unfavorable,53,Somewhat favor,72,72,Don't Know,Important but not a top priority,Top priority,Important but not a top priority,Important but not a top priority,Top priority,Very negative,Somewhat positive,Somewhat positive, ,Very positive,The federal government should allow insurance companies to sell these types of plans,311,311,Somewhat important, ,Not at all worried,Somewhat worried, ,"No, do not want to see it overturned",412,412,Keep it about the same,Keep it about the same,Increase spending, ,Decrease spending, ,Keep it about the same, ,459,459,Independent,Democratic,Democrat/Independent lean Democrat,INDEPENDENT/LEAN DEM, ,Improving and protecting the 2010 Affordable Care Act,506,506,"Yes, should take action","Yes, should take action","Yes, should take action",Both,742,742,Too much,Minor role, ,About the same, ,"The U.S. should participate in international efforts, so other countries will do their fair share and efforts will be be",825,825,Female,FEMALE,65, ,65+,65+,65+,Covered by health insurance, ,Medicare, , , , , , , ,857,Good,GOOD,E/VG/G,"Yes, someone in household has pre-existing condition",883,883,Married,Retired,RETIRED,935,935,Conservative,Yes,Somewhat disapprove,STRONGLY DISAPPROVE/SOMEWHAT DISAPPROVE,966,966,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","$75,000 to less than $90,000",$40K-$89K,1032,1032,"Yes, have cell phone", , ,2,1067,Yes,1121,1121,Ohio,North Central,2,190411,18.6,RDD,18002407,Ohio,North Central,East North Central,E, ,Rural- Non-Metro, ,landline,Federal,Yes,Yes - Republican Governor,Yes,.7886,1.079,.2753,.3312,English,East North Central,sex = rsex,Dual,Dual HH,OHIO,A,D,1,1,1,Rural
